Tijdstempel,Score,Wat is uw leeftijd in cijfers?,Wat is uw geslacht?,"Wat is het niveau waaraan u momenteel studeert of heeft gestudeerd, indien u al werkt?",Wat is uw vakgebied of studierichting?,"Is uw vakgebied of studierichting direct gerelateerd aan technische onderwerpen zoals ICT, kunstmatige intelligentie en AI-generatoren?",In hoeverre bent u bekend met AI-generatoren?,Hoe vaardig acht u uzelf in het begrijpen van de werking van AI-generatoren?,"Hoe regelmatig gebruikt u zelf AI-generatoren in uw studie of werk? (ChatGPT, DALL-E, Bard)","Waar heeft u AI-generatoren voorheen voor gebruikt, indien van toepassing?",Hoeveel vertrouwen heeft u in uw vermogen om onderscheid te maken tussen door AI gegenereerde en authentieke afbeeldingen?,Vul uw starttijd in,1: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",2: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",3: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",4: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",5: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",6: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",7: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",8: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",9: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",10: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",11: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",12: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",13: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",14: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",15: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",16: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",17: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",18: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",19: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",20: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",21: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",22: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",23: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",24: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",25: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",26: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",27: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",28: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",29: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",30: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",Vul uw eindtijd in:,Heeft u tijdens de survey nieuwe informatie opgedaan over AI-generatoren die u eerder niet kende?,In hoeverre heeft uw deelname aan deze survey invloed gehad op uw vertrouwen in het onderscheiden van  authentieke en door AI gegenereerde afbeeldingen?,Wat vond u van de moeilijkheidsgraad van de afbeeldingen?,Hoeveel foto's denkt u correct te hebben onderscheiden tijdens de survey?
30-11-2023 23:10:10,22 / 30,59,Vrouw,HBO,bedrijf,Nee,3,1,1,Niet van toepassing,3,22:47:00,Echt,,Nep,te groot,Nep,wegdek verschil,Nep,perspectirf,Nep,kleding optaffel,Nep,achtergroend,Nep,handen,Echt,,Echt,,Nep,gezicht,Echt,,Nep,houding,Nep,,Echt,,Echt,,Nep,,Echt,,Nep,,Echt,,Echt,,Echt,,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,,23:06:00,Ja,5,3,8
1-12-2023 0:45:26,23 / 30,59,Man,HBO,Infra,Nee,1,1,1,Niet van toepassing,3,0:34:00,Echt,,Echt,,Nep,Schaduw tank niet aanwezig bij kkn wel,Echt,,Echt,,Echt,,Nep,Poes te schoon,Nep,Licht,Echt,,Nep,Gezichten lijken niet echt,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Overgang mensen bij gevel onduidelijk,Echt,,Nep,Licht ,Nep,Onscherpe onnatuurlijke mensen vooraan,Echt,,Echt,,Nep,Haar glinstert,Echt,,Echt,,Echt,,Nep,Geen oog contact,Nep,Vaag er achter,Nep,Dubbele poetin,Nep,Kleur belichting,Nep,Belichting tov achtergrond,0:44:00,Nee,3,3,8
1-12-2023 7:04:29,17 / 30,65,Vrouw,Universitair (Bachelor/Master/PhD),Onderwijs,Als hulpmiddel,3,2,2,Teksten genereren (ChatGPT),2,6:47:00,Nep,De vrolijkheid van de vrouw met de afbeelding van de vuist,Echt,,Echt,,Nep,Bijna onmogelijk om dit moment echt vast te leggen. ,Nep,Het lijkt of er geen draad uit de machines kan komen,Echt,,Echt,,Echt,,Nep,Geen idee. Intuïtief. ,Nep,Het hoofd van Obama ziet er heel onnatuurlijk uit,Echt,,Echt,,Echt,,Nep,Geen idee. Gevoel,Nep,,Nep,Gevoel door hoeveelheid mensen,Nep,Door de jongen die overspringt,Nep,Onnatuurlijk ,Nep,Gevoel,Echt,,Echt,,Nep,Ze lijken teveel op elkaar,Echt,,Echt,,Nep,Te vrolijk,Nep,Geen idee,Echt,,Nep,Er zitten alleen Poetins ,Nep,Gevoel,Nep,Foto ziet er onnatuurlijk uit,7:03:00,Nee,1,5,3
1-12-2023 8:09:28,20 / 30,31,Vrouw,Universitair (Bachelor/Master/PhD),LAW,Nee,1,1,1,Niet van toepassing,1,8:00:00,Echt,,Nep,Kleur en type foto,Nep,Kleur en diepte ,Nep,Kleur en afbeelding zelf ,Echt,,Echt,,Nep,De manier waarop de soldaat zit ten opzichte van de kat ,Echt,,Echt,,Nep,Kleuren en foto zelf ,Echt,,Nep,De afbeelding zelf,Nep,delen van de foto lijken zich te herhalen,Echt,,Nep,,Nep,Delen van de foto lijken zich te herhalen ,Echt,,Nep,Kleuren,Echt,,Echt,,Echt,,Nep,De afbeelding zelf,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,De personen lijken op elkaar,Echt,,Nep,Kleuren en omgeving ,8:08:00,Nee,3,4,4
1-12-2023 8:30:38,19 / 30,60,Vrouw,HBO,HRM,Nee,1,1,1,Niet van toepassing,2,8:19:00,Echt,,Nep,Kleuren en beeldPetra ,Nep,Onnatuurlijke houding kinderen ,Echt,,Echt,,Echt,,Nep,Houding soldaat,Nep,Vrouw houdt bord met voorkant naar achteren,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Ik vind Poetin er wel erg vreemd uitzien,Echt,,Echt,,Echt,,Nep,Volgens mij heeft deze ontmoeting nooit plaats gevonden. Vind ze er niet echt uitzien.,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,"Het ziet er onnatuurlijk uit, kleuren vooral",8:29:00,Nee,3,3,4
1-12-2023 9:07:17,20 / 30,44,Vrouw,Universitair (Bachelor/Master/PhD),Psychologie,Nee,4,4,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,9:02:00,Echt,,Echt,,Nep,"Lichtval, positionering ",Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Lichtval,Echt,,Echt,,Echt,,Nep,Ziet er getekend uit,Nep,Vage voorgrond ,Echt,,Echt,,Echt,,Echt,,Nep,Licht op de vlaggen,Echt,,Nep,Licht,9:06:00,Nee,3,4,3
1-12-2023 9:16:43,19 / 30,63,Man,HBO,Marketing,Nee,1,2,1,Niet van toepassing,2,9:00:00,Echt,,Nep,Kleurverschil,Nep,Tank ingeplakt. Te mooi plaatje,Nep,Hand in mond?,Echt,,Echt,,Nep,Stand handen.,Nep,Tekst aan verkeerde kant,Echt,,Nep,Photoshop. Deze 3 heren komen niet samen.,Echt,,Nep,Niet natuurlijk,Nep,Rommelige massa,Nep,Tractor klopt niet,Echt,,Nep,Teveel mensen,Echt,,Nep,Bewerkt met photoshop ,Echt,,Echt,,Echt,,Nep,Photoshop,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Photoshop niet natuurlijk ,9:15:00,Nee,4,3,5
1-12-2023 9:18:43,25 / 30,49,Man,MBO,Elektrotechniek ,Ja,3,2,1,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,9:06:00,Echt,,Echt,,Nep,Scherpte verschilt,Nep,Mond Biden klopt niet,Nep,3e naaister en haar naaimachine verschillen in scherpte.,Echt,,Nep,Hand soldaat klopt niet.,Nep,Rechter hand lijkt anders,Nep,Links boven grijze vlek,Nep,Gezichten zien er nep uitm,Echt,,Nep,Ogen mond en sevet in borstzak anders,Nep,Publiek ziet er raar uit.,Nep,Lichtval,Echt,,Nep,Te druk,Echt,,Nep,Gezicht Putin nep.,Nep,Schaduwen kloppen niet,Echt,,Echt,,Nep,Gezichten nep,Echt,,Nep,Vrouw net te perfect,Echt,,Echt,,Echt,,Nep,Meerdere Putins,Echt,,Nep,Biden zeer nep,9:17:00,Nee,2,4,7
1-12-2023 9:32:59,20 / 30,79,Vrouw,HBO,Onderwijs,Nee,1,1,1,Niet van toepassing,1,9:00:00,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Onduidelijk,Nep,Ziet er niet echt uit,Nep,Erg onnatuurlijk ,Echt,,Echt,,Echt,,Nep,Onnatuurlijk ,Echt,,Echt,,Echt,,Nep,Gezichten lijken niet,Echt,,Echt,,Echt,,Nep,Vreemde gezichten ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Onnatuurlijk ,Echt,,Nep,Onnatuurlijk ,9:30:00,Nee,1,3,4
1-12-2023 9:42:16,15 / 30,57,Man,Universitair (Bachelor/Master/PhD),Bedrijfskunde en informatica,Ja,4,3,2,Niet van toepassing,2,8:30:00,Nep,Belichting,Echt,,Echt,,Nep,Compositie,Echt,,Echt,,Echt,,Nep,Contouren ,Echt,,Nep,Structuur,Echt,,Nep,Onnatuurlijke grip,Nep,Spreiding menigte,Nep,Contouren ,Echt,,Echt,,Nep,,Nep,Structuur,Echt,,Nep,Contouren ,Echt,,Nep,Structuur ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Plakken knippen,Echt,,Nep,Structuur ,8:45:00,Nee,3,4,8
1-12-2023 10:03:17,17 / 30,62,Vrouw,HBO,Toerisme,Nee,3,3,3,Teksten genereren (ChatGPT),3,10:58:00,Echt,,Nep,The empty places on the picture,Nep,I can’t imagen that the 3 kids could stand there,Nep,,Nep,,Nep,Hand achter de jongrn,Nep,Ik verwacht geen kat op die plek,Echt,,Echt,,Nep,Obama ziet er nep uit,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Wilders is nep,Nep,Kinderwagen op die plek,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Nep,Onnatuurlijk hoofd,11:00:00,Ja,4,4,5
1-12-2023 10:18:01,18 / 30,59,Man,Universitair (Bachelor/Master/PhD),Medisch specialist,Ja,5,3,3,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,10:01:00,Echt,,Nep,"Voorgrond bruin, stof/modder. Achter grijs",Nep,Geen schaduw loop vs tank,Nep,Onwaarschijnlijk,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Behoeft geen uitleg,Nep,Verschillende uitingen,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Onecht gezicht poetin ,Echt,,Echt,,Echt,,Nep,Wilders niet echt,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Kijk naar handen,Echt,,Nep,"Dirty Harry, make my day. ",10:12:00,Nee,3,2,8
1-12-2023 10:18:44,22 / 30,24,Man,Universitair (Bachelor/Master/PhD),Geneeskunde,Ja,3,2,3,Teksten genereren (ChatGPT),3,10:14:00,Echt,,Nep,Lijkt getekend,Nep,Lijkt sterk filter overheen,Echt,,Echt,,Nep,Onderbuikgevoel,Echt,,Echt,,Echt,,Nep,De gezichten lijken leer,Echt,,Echt,,Nep,Lijken niet duidelijk personen,Echt,,Nep,,Nep,De huizen lijken nep,Echt,,Nep,Lijkt onrealistisch ,Nep,Lijkt sterk bewerkt,Echt,,Echt,,"Nep, Echt",Ze hebben nog nooit ontmoet. En ook sterk bewerkt,Echt,,Nep,Lijkt ook wat nep. Moeilijk uit te leggen ,Echt,,Echt,,Echt,,Nep,Meerdere putins?,Echt,,Nep,Het gebit,10:18:00,Ja,2,3,6
1-12-2023 10:25:28,20 / 30,56,Man,MBO,Horeca,Nee,3,2,1,Niet van toepassing,2,10:13:00,Echt,,"Echt, Nep",,Nep,Lijkt photoshop,Nep,President doet dit niet ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Obama lijkt nep ,Echt,,Nep,Fotoshop,Echt,,Echt,,Echt,,Nep,Vlaggen lijken erin gezet ,Echt,,Nep,Fotoshop,Echt,,Echt,,Echt,,Nep,Fotoshop,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Fotoshop ,Echt,,Nep,Fotoshop,10:24:00,Nee,3,4,7
1-12-2023 10:35:39,21 / 30,64,Man,MBO,Logistiek,Nee,2,1,1,Niet van toepassing,2,10:24:00,Nep,Komt niet echt over,Echt,,Nep,Verhouding,Nep,Niet reëel,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,rare gezichten,Nep,verhoudingen kloppen niet,Echt,,Nep,Verhoudingen kloppen niet,Echt,,Echt,,Echt,,Echt,,Nep,Raar gezicht,Nep,Verhoudingen kloppen niet,Echt,,Echt,,Nep,Rare gezichten,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Rare gezichten 2x Poetin?,Echt,,Nep,te strakke lijnen,10:35:00,Nee,2,4,5
1-12-2023 11:32:44,21 / 30,42,Vrouw,Universitair (Bachelor/Master/PhD),Coach,Nee,2,2,1,Niet van toepassing,3,11:26:00,Echt,,Nep,Die achterkant ziet er nep uit,Nep,Die kinderent zijn photoshopped,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,2 nep mensen,Echt,,Nep,Gun,Echt,,Echt,,Nep,Hoofd,Nep,Achterkant,Echt,,Nep,Man,Nep,Mensen,Echt,,Echt,,Nep,Beide mannen,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Voorhoofd/haar,Echt,,Nep,Alles,11:32:00,Nee,3,3,7
1-12-2023 11:45:00,28 / 30,20,Vrouw,HBO,Product design,Nee,3,2,3,"Teksten genereren (ChatGPT), Ai in Photoshop",3,11:23:00,Echt,,Echt,,Nep,rare delen zijn scherp en onscherp,Echt,,Nep,de mensen en hun handen,Echt,,Nep,oog van de kat en zijn hand,Echt,,Nep,huizen voorin,Nep,te heftig detail en glanzend,Echt,,Echt,,Nep,de mensen en de auto voorin,Echt,,Echt,,Nep,de voorste mensen,Echt,,Nep,rare handen hoofd is een beetje onmenselijk,Nep,de rij tenten,Echt,,Echt,,Echt,de handen van die man daarachter en te glanzende neppe mensen,Echt,,Nep,de onscherpe delen,Echt,,Echt,,Echt,,Nep,handen en weer een glanzend hoofd,Echt,,Nep,heel zn hoofd en weer hand,11:43:00,Nee,3,3,6
1-12-2023 12:02:33,22 / 30,22,Vrouw,HBO,bio-informatica,Ja,4,4,3,Teksten genereren (ChatGPT),2,11:52:00,Nep,De hand van de mevrouw en het been onderaan,"Echt, Nep",redelijk vage foto,Nep,"De kinderen, die op die manier staan",Echt,,Echt,,Echt,,Nep,"de kat, en de ogen van de kat",Echt,,Echt,,Nep,"De hele afbeelding. Obama, joe biden en Trump zien er allemaal nep uit",Echt,,Echt,,Echt,,Nep,de kleuren,Echt,,Nep,Er zit een vage waas overheen en de haren van de meiden vooraan zien er gek uit,Echt,,Nep,de mensen zien er onnatuurlijk uit,Nep,Die man in het midden ziet er onnatuurlijk uit,Echt,,Echt,,Echt,De personen zien er onrealistisch uit,Echt,,Nep,de omgeving rondom de vrouw ziet er computer-gemaakt uit. ,Echt,,Echt,,Echt,,Nep,de hand van de man rechts voor en poetin zelf,Echt,,Nep,Het persoon lijkt uit een tekenfilm te komen,12:02:00,Ja,2,3,4
1-12-2023 12:03:43,26 / 30,23,Vrouw,Universitair (Bachelor/Master/PhD),Diergeneeskunde,Nee,4,3,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,11:57:00,Echt,,Nep,de regelmatigheid van de huizen??,Nep,de graphics van de tank,Echt,,Nep,de voorste naaimachine,Echt,,Echt,,Echt,,Nep,in de verte is geen duidelijke regelmaat meer,Nep,de algemene graphics zijn te smooth,Echt,,Echt,,Nep,alle hoofden lijken samen te blenden,Echt,,Echt,,Nep,de menigte in de verte,Echt,,Nep,algemene graphics,Nep,mensen in de verte,Echt,,Echt,,Nep,belichting,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,lettelijk 3x putin,Echt,,Nep,,12:03:00,Nee,3,3,7
1-12-2023 12:09:56,22 / 30,21,Vrouw,Universitair (Bachelor/Master/PhD),Informatiekunde,Ja,5,3,4,Niet van toepassing,3,11:47:00,Echt,,Nep,Is niet echt duidelijk waar op gefocust is. ,Nep,De tank lijkt alsof het erin is gefotoshopt. ,Nep,Misvormde ledematen.,Nep,"Kleurgebruik, waardoor het voor mij onnatuurlijk lijkt, een twijfelgeval. ",Nep,De jongen op de voorgrond lijkt gefotoshopt.,Nep,De witte kat. ,Echt,,Nep,Niet echt een focus. ,Nep,De gezichten zijn een beetje vernaggeld.,Echt,,Nep,,Nep,Kan niet heel veel opmaken uit de afbeelding. ,Nep,Lijkt onnatuurlijk door het kleurgebruik.,Echt,,Nep,Je ziet soms geen gezichten. Bijvoorbeeld een waas met een zonnebril. ,Echt,,Nep,De gezichten komen niet natuurlijk over. ,Nep,"Er zit een soort waas over de afbeelding, waardoor het niet natuurlijk overkomt.",Echt,,Nep,De vlag ziet er heel kreupel uit.,Nep,Het beeld lijkt gepolijst. Levendige kleuren. ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,De gezichten lijken allemaal op elkaar.,Echt,,Nep,De achtergrond is wazig en de man op de voorgrond lijkt er wel in gefotoshopt. ,12:08:00,Nee,3,4,6
1-12-2023 12:15:40,21 / 30,24,Man,MBO,Politie,Nee,3,2,2,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,12:11:00,Echt,,Echt,,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,,Nep,,Nep,,Echt,,Nep,,Echt,,Nep,,Echt,,Echt,,Echt,,Nep,,Echt,,Echt,,Nep,,Echt,,Echt,,Nep,,Echt,,Nep,,12:15:00,Nee,3,4,6
1-12-2023 12:22:38,27 / 30,"18,75",Vrouw,HBO,Product Design,AI neemt een steeds groter deel binnen de kunsten,4,3,1,Voor het beantwoorden van een vraag of om te vertalen,4,12:04:00,Echt,,Nep,Het heeft een te gladde uitstraling en mist details en textuur,Nep,Het is weer te glad. De textuur en detail van de kleding het metaal missen. Het lijkt eerder op een game dan een echte foto.,Echt,,Nep,moeilijk wel deze maar weer een bepaalde gladde uitstraling. maar deze kan ook verkregen worden door editing dus idk.,Echt,,Nep,gladde afgelikte uitstraling. en ik vind die '8' sus ,Echt,,Nep,hele rare situatie die mij onrealistisch lijkt. je kan nergens echt opmaken wat je werkelijk ziet of waar het begin of einde is.,Nep,dit is geen realistische afbeelding van de presidenten. joe biden ziet er zo niet uit. en dit is nooit gebeurd.,Echt,,Nep,"zijn zakdoek heft drie punten, waar dat normaal gezien hoogstens twee zou zijn",Nep,weer een te gladde en gelikte uitstraling. de straat heeft geen textuur. en de rijwagens zijn apart en er vliegen random wielen ,Echt,,Echt,,Nep,gekke gladde uitstraling en als je inzoomt zie je dat niemand een echt gezicht heeft,Echt,,Nep,gekke onrealistische uitstraling; lack of texture; te hoge HDR,Nep,de mensfiguren afgebeeld hebben onrealistische poses en kloppen gewoon niet,Echt,,Echt,,Nep,te gladde textuur van de kledij en te perfecte haren en te hoge HDR ,Echt,,Nep,vibes. maar moeilijke,Echt,,Echt,,Echt,,Nep,bro's dit zijn te veel Putins. en weer een veelte hoog contrast en gladde uitstraling,Echt,,Nep,te gladde uitstraling en hoog contrast en onrealistisch gebeuren,12:21:00,Nee,2,3,7
1-12-2023 12:23:45,25 / 30,22,Vrouw,Universitair (Bachelor/Master/PhD),Marketing,Nee,3,3,3,Teksten genereren (ChatGPT),3,12:18:00,Echt,,Nep,,Nep,,Nep,,Echt,,Echt,,Nep,,Echt,,Nep,,Nep,,Echt,,Nep,,Nep,,Echt,,Echt,,Nep,,Echt,,Nep,,Nep,,Echt,,Echt,,Nep,,Echt,,Nep,,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,,12:23:00,Ja,3,4,5
1-12-2023 12:35:48,23 / 30,20,Vrouw,Universitair (Bachelor/Master/PhD),Werktuigbouwkunde,Ja,4,3,4,"Teksten genereren (ChatGPT), technische uitleg van moeilijkere onderwerpen, helpen met het zoeken van geschikte stoffen na aanleiding van een lijst met eisen (AI efficienter zoeken dan google)",3,12:26:00,Echt,,Echt,,Nep,de grootte van de tank ten opzicht van de kinderen en de straat (tank voelt dichtbij maar als je naar de straat kijkt is hij nog best ver weg),Echt,"de hoek van de foto, de mensen aan de onderkant staan raar laag",Echt,,Echt,,Echt,"gezicht van de man, en de kat zien er heel ""perfect"" uit",Echt,,Echt,,Nep,de textuur van huid op alle drie de hoofden ziet er echt heel raar uit,Echt,,Nep,"ik kan niet aanduiden welke aspecten van de foto er nep uit zien, maar door logische beredenering lijkt het me niet echt gebeurt",Nep,lichtinval in het midden van de mensenmassa,Nep,"lichtinval en de foto ziet er ""zacht"" uit",Echt,ik weiger te geloven dat dit echt is maar ik kan niet uitleggen waarom hij dan nep zou zijn,Nep,"wederom foto ziet er ""zacht"" uit",Nep,waar komt die jongen die op dat gebouw springt vandaan? die kan niet zo ver gesprongen hebben,Nep,alle textuur ziet er raar en zacht uit,Nep,textuur van de tenten ziet er niet geloofwaardig uit,Echt,,Echt,,Nep,jassen en haren en huid zien er allemaal nep uit,Echt,,Nep,stenen zien er onnatuurlijk uit,Echt,,Echt,,Echt,,Nep,drie van deze mannen zien er uit als putin,Echt,,Nep,de huid en het licht zien er onnatuurlijk uit,12:35:00,Nee,2,3,6
1-12-2023 12:41:42,29 / 30,20,Man,Universitair (Bachelor/Master/PhD),kunstmatige intelligentie,Ja,5,5,3,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney), image recognition, object detection",4,12:23:00,Echt,,Echt,,Nep,linker kind ziet er nep uit. De handen van de kinderen kloppen niet. De afbeelding zelf is een vreemd scenario,Echt,,Nep,"Naaimachines niet hetzelfde, handen staan op onnatuurlijke plekken",Nep,"ringvinger klopt niet, jas zier er gek uit op sommige plekken",Nep,"Hand ziet er gek uit, kat heeft rare poten, geen duidelijke afbeeldingen op uniform van soldaat (geen vlag, random 8 en 0). Geweer wordt niet gedragen zoals dat in het echt zou zijn",Echt,,Nep,"sommige perspectief lijnen lopen niet normaal, huizen smelten in elkaar, geen duidelijke horizon",Nep,"Zien er alle 3 te ""glanzend"" uit. handen zijn niet natuurlijk. Horloge bestaat niet. Iedereen in de achtergrond draagt wit. Waarom zouden zij ook zo samenkomen",Echt,,Echt,,Nep,De fietsen/motoren kloppen niet. perspectief raar. Mensen dragen alleen rood,Echt,,Echt,,Nep,Nek van man links onder klopt niet. Vlaggen lopen raar. rare huizen met veel ramen. De mensen kloppen totaal niet,Echt,,Nep,"Handen kloppen niet. Nogmaals zien ze er te ""shiny"" uit. ",Nep,"mensen kloppen niet, perspectief klopt niet",Echt,,Echt,,Nep,"duh, stropdas klopt niet, handen kloppen niet. te shiny huid, compleet onrealistisch scenario",Echt,,Nep,"handen zien er nep uit, niet natuurlijk waar het andere been is, waarom is dat andere kind zo ver verwijderd, ",Echt,,Echt,,Nep,"je kan niet echt identificeren welk afval nou wat is, normaal kan je duidelijk zien of iets een zakje o.i.d is. Persoon in de verte rechts houdt iets wits vast (gek)",Nep,"iedereen ziet er te shiny uit, medailles kloppen niet. De handen kloppen niet!!!!",Echt,,Nep,"shiny huid, rare handen, rare knopen, rare bril raar scenario",12:40:00,Nee,4,1,10
1-12-2023 12:44:13,18 / 30,18,Vrouw,Universitair (Bachelor/Master/PhD),Biomedische wetenschappen ,Nee,2,1,1,Niet van toepassing,2,12:32:00,Echt,,Nep,De omvang van dit dorpje. Het lijkt me makkelijk te verdubbelen of groter te laten lijken. Ook de straat ziet er minder natuurlijk uit. ,Nep,De situatie lijkt me onnatuurlijk en gepositioneerd. ,Nep,Ook de situatie lijkt me niet echt. Alsof iemand twee foto’s aan elkaar heeft geplakt. ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,De mensen lijken gepolijst alsof ze mooier zijn gemaakt. ,Echt,,Nep,Ook de situatie lijkt me zo onwaarschijnlijk dat iemand hem in een slecht daglicht wilt zetten door deze foto zo te bewerken. ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,De gezichten zijn bewerkt. Ze zijn mooier gemaakt. ,Echt,,Echt,,Echt,,Nep,De gezichten zien er mooier uit   ,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Je ziet de bewerking aan zijn gezicht. ,12:43:00,Nee,2,3,7
