,score,leeftijd,geslacht,niveau,vakgebied,relatie-vakgebied,bekendheid-AI,vaardigheid-AI,regelmaat-AI,gebruik-AI,vertrouwen-Onderscheid,starttijd,foto-1,toelichting-1,foto-2,toelichting-2,foto-3,toelichting-3,foto-4,toelichting-4,foto-5,toelichting-5,foto-6,toelichting-6,foto-7,toelichting-7,foto-8,toelichting-8,foto-9,toelichting-9,foto-10,toelichting-10,foto-11,toelichting-11,foto-12,toelichting-12,foto-13,toelichting-13,foto-14,toelichting-14,foto-15,toelichting-15,foto-16,toelichting-16,foto-17,toelichting-17,foto-18,toelichting-18,foto-19,toelichting-19,foto-20,toelichting-20,foto-21,toelichting-21,foto-22,toelichting-22,foto-23,toelichting-23,foto-24,toelichting-24,foto-25,toelichting-25,foto-26,toelichting-26,foto-27,toelichting-27,foto-28,toelichting-28,foto-29,toelichting-29,foto-30,toelichting-30,eindtijd,nieuwe-kennis,invloed-survey,moeilijkheid,inschatting,startminuten,eindminuten,tijd
49,77,20,Vrouw,Universitair,Werktuigbouwkunde,Ja,4,3,4,"Teksten genereren (ChatGPT), technische uitleg van moeilijkere onderwerpen, helpen met het zoeken van geschikte stoffen na aanleiding van een lijst met eisen (AI efficienter zoeken dan google)",3,12:26:00,1,,1,,0,de grootte van de tank ten opzicht van de kinderen en de straat (tank voelt dichtbij maar als je naar de straat kijkt is hij nog best ver weg),1,"de hoek van de foto, de mensen aan de onderkant staan raar laag",1,,1,,1,"gezicht van de man, en de kat zien er heel ""perfect"" uit",1,,1,,0,de textuur van huid op alle drie de hoofden ziet er echt heel raar uit,1,,0,"ik kan niet aanduiden welke aspecten van de foto er nep uit zien, maar door logische beredenering lijkt het me niet echt gebeurt",0,lichtinval in het midden van de mensenmassa,0,"lichtinval en de foto ziet er ""zacht"" uit",1,ik weiger te geloven dat dit echt is maar ik kan niet uitleggen waarom hij dan nep zou zijn,0,"wederom foto ziet er ""zacht"" uit",0,waar komt die jongen die op dat gebouw springt vandaan? die kan niet zo ver gesprongen hebben,0,alle textuur ziet er raar en zacht uit,0,textuur van de tenten ziet er niet geloofwaardig uit,1,,1,,0,jassen en haren en huid zien er allemaal nep uit,1,,0,stenen zien er onnatuurlijk uit,1,,1,,1,,0,drie van deze mannen zien er uit als putin,1,,0,de huid en het licht zien er onnatuurlijk uit,12:35:00,Nee,2,3,6,746,755,9
50,97,20,Man,Universitair,kunstmatige intelligentie,Ja,5,5,3,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney), image recognition, object detection",4,12:23:00,1,,1,,0,linker kind ziet er nep uit. De handen van de kinderen kloppen niet. De afbeelding zelf is een vreemd scenario,1,,0,"Naaimachines niet hetzelfde, handen staan op onnatuurlijke plekken",0,"ringvinger klopt niet, jas zier er gek uit op sommige plekken",0,"Hand ziet er gek uit, kat heeft rare poten, geen duidelijke afbeeldingen op uniform van soldaat (geen vlag, random 8 en 0). Geweer wordt niet gedragen zoals dat in het echt zou zijn",1,,0,"sommige perspectief lijnen lopen niet normaal, huizen smelten in elkaar, geen duidelijke horizon",0,"Zien er alle 3 te ""glanzend"" uit. handen zijn niet natuurlijk. Horloge bestaat niet. Iedereen in de achtergrond draagt wit. Waarom zouden zij ook zo samenkomen",1,,1,,0,De fietsen/motoren kloppen niet. perspectief raar. Mensen dragen alleen rood,1,,1,,0,Nek van man links onder klopt niet. Vlaggen lopen raar. rare huizen met veel ramen. De mensen kloppen totaal niet,1,,0,"Handen kloppen niet. Nogmaals zien ze er te ""shiny"" uit. ",0,"mensen kloppen niet, perspectief klopt niet",1,,1,,0,"duh, stropdas klopt niet, handen kloppen niet. te shiny huid, compleet onrealistisch scenario",1,,0,"handen zien er nep uit, niet natuurlijk waar het andere been is, waarom is dat andere kind zo ver verwijderd, ",1,,1,,0,"je kan niet echt identificeren welk afval nou wat is, normaal kan je duidelijk zien of iets een zakje o.i.d is. Persoon in de verte rechts houdt iets wits vast (gek)",0,"iedereen ziet er te shiny uit, medailles kloppen niet. De handen kloppen niet!!!!",1,,0,"shiny huid, rare handen, rare knopen, rare bril raar scenario",12:40:00,Nee,4,1,10,743,760,17
51,60,18,Vrouw,Universitair,Biomedische wetenschappen ,Nee,2,1,1,Niet van toepassing,2,12:32:00,1,,0,De omvang van dit dorpje. Het lijkt me makkelijk te verdubbelen of groter te laten lijken. Ook de straat ziet er minder natuurlijk uit. ,0,De situatie lijkt me onnatuurlijk en gepositioneerd. ,0,Ook de situatie lijkt me niet echt. Alsof iemand twee foto’s aan elkaar heeft geplakt. ,1,,1,,1,,1,,1,,0,De mensen lijken gepolijst alsof ze mooier zijn gemaakt. ,1,,0,Ook de situatie lijkt me zo onwaarschijnlijk dat iemand hem in een slecht daglicht wilt zetten door deze foto zo te bewerken. ,1,,1,,1,,1,,1,,0,De gezichten zijn bewerkt. Ze zijn mooier gemaakt. ,1,,1,,1,,0,De gezichten zien er mooier uit   ,1,,1,,1,,1,,1,,1,,1,,0,Je ziet de bewerking aan zijn gezicht. ,12:43:00,Nee,2,3,7,752,763,11
52,83,21,Man,Universitair,Biomedische wetenschappen,Nee,3,2,1,Niet van toepassing,3,12:49:00,0,Hand bij dr poster,1,,0,Niet realistisch,1,,0,Niet realistisch,1,,0,Niet scherp,1,,1,,0,Niet scherp,1,,1,,0,Bomen,0,Lijkt nep,1,,0,De huizen,1,,0,Kwaliteit,0,Tenten,1,,1,,1,Mens,1,,0,Steen,1,,1,,1,,0,Vlag,1,,0,Gezicht,12:53:00,Ja,4,3,8,769,773,4
53,80,18,Man,Universitair,Biomedische wetenschappen ,Nee,3,3,1,Niet van toepassing,1,12:49:00,1,,1,,0,Beetje wazig,1,,0,Ziet eruit als een foto die uit een simpele zin is gegenereerd,1,,1,,1,,1,,0,Gekke combinatie mensen ,1,,0,Hij houdt geen wapens vast hij heeft bodyguards ,0,Te generic ,1,,1,,1,,1,,0,Gek gezicht,1,,1,,1,,0,Niet samen geweest,1,,0,Te generic,1,,1,,1,,0,Clones ,1,,0,Gekke kwaliteit,12:56:00,Ja,3,4,5,769,776,7
54,70,19,Vrouw,Universitair,Biomedische wetenschappen,Nee,3,3,4,Teksten genereren (ChatGPT),4,12:49:00,1,,0,,0,De achtergrond ziet er virtueel uit,1,,0,De eerste vrouw ziet er nep uut,1,,0,Het lijkt er niet op alsof de kat en soldaat in een foto staan,1,,1,,0,De personen lijken nep,1,,0,Hoe zijn handen staan ziet er nep uit,0,Als je inzoomt op de crowd zie je geen echte mensen,0,,1,,1,,1,,0,Het ziet er uit als game figureren ,0,Het lijken op karakters,1,,1,,1,De personen zien er nep uit,1,,1,,1,,0,,1,,0,Het ziet er futuristisch uut,1,,0,persoon ziet er als karakter uut,12:59:00,Nee,1,4,5,769,779,10
55,83,19,Vrouw,Universitair,Biomedische wetenschappen,Nee,2,3,3,Teksten genereren (ChatGPT),3,12:50:00,1,,0,,0,Het lijkt te veel op een film moment,1,Lijkt op sommige punten gephotoshopt ,0,,1,,1,,1,,1,,0,"Ziet er gewoon niet natuurlijk uit, de hoofden glimmen te veel",1,,1,,1,,1,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,Allemaal hetzelfde hoofd,1,,0,,13:01:00,Nee,4,2,7,770,781,11
56,90,20,Man,Universitair,Informatiekunde,Ja,4,2,4,Teksten genereren (ChatGPT),3,12:52:00,1,,1,,0,De kwaliteit van de afbeelding ziet er niet realistisch uit wat mij de ingeving geeft dat de foto nep is,1,,1,,1,,1,,1,,0,Er lijken een aantal rare plekken te zitten op de foto die niet echt lijken. Dit doet mij denken dat het nep is,0,Joe biden zijn hoofd is iets minder watermeloen-achtig als het goed is,1,,1,,0,De menigte verderop lijkt te wazig voor mij + ik zie geen hekken dus de mensen zouden dan wel wat verspreiden in zo'n menigte. Hierdoor zou ik zeggen dat het niet echt is,1,,1,,0,De huizen met letterlijk overal ramen vind ik onnatuurlijk,1,,0,Gebaseerd op de kwaliteit van de foto zou ik nep zeggen,0,Ik vind de tent achterin er onnatuurlijk uit zien. Deze heeft een doorlopende streep waardoor ik nep zou zeggen,1,,1,,0,Wederom vind ik de kwaliteit er op duiden dat dit een neppe foto is,1,,0,De kwaliteit en onnatuurlijke brokstukken laten mij geloven dat deze foto nep is.,1,,1,,1,,0,Putin is volgensmij helemaal geen tweeling. Fake shit ouwe,1,,0,Joe zou normaal een npc moeten zijn. Hij ziet er hier dus onnatuurlijk uit samen met de kwaliteit die mij laten geloven dat het FAKE is.,13:10:00,Nee,4,3,8,772,790,18
57,80,20,Vrouw,Universitair,Geneeskunde,Nee,3,2,1,Niet van toepassing,2,13:17:00,1,,0,weinig gedetailleerd,0,Lijkt grafisch gezien op een game,0,lichtval lijkt niet te kloppen en Joe wat?,0,Ogen dicht/gezicht klopt niet,0,Perspectief klopt niet,0,Handen,1,,0,lichtval lijkt niet te kloppen,0,Niemands huid ziet er zo uit,0,vlaggen lijken nep,1,,0,Kleurtonen kloppen niet,1,,1,,0,Vlaggen kloppen niet,1,,0,Het lijkt getekend,0,Gebrek aan details,1,,0,Perspectief en scherpte komen niet overeen,0,Lijkt weer getekend,1,,0,Lijkt grafisch op een game,1,,1,,1,,0,Lijkt getekend en Putin zit met zichzelf aan tafel,1,,0,Lijkt getekend,13:29:00,Ja,4,3,7,797,809,12
58,90,20,Vrouw,Universitair,Archeologie,Nee,3,3,2,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,13:27:00,1,,0,De kleuren van de afbeelding zijn te plat voor mijn gevoel. Het is onduidelijk waarvanuit de zon schijnt bijv. ,0,"Rare plekken zijn scherp gestelt in de foto. De kwaliteit lijkt iets te ""zacht"" voor een echte foto. ",1,,0,De focus is in vergeleken met andere foto's een beetje raar. Alles lijkt zachter dan in een echte foto. ,1,,0,De hand van de man lijkt een beetje vervormd. Dit gebeurt wel vaker in AI gemaakte afbeeldingen.,1,,1,,0,De textuur van de mannen hun gezichten is anders dan wat je in het echte leven ziet. Ook is de belichting in de foto heel raar. De textuur van de pakken is ook iets te smooth. ,1,,1,,0,De belichting in de foto voelt raar en hetzelfde geldt voor de hoek waarin de foto is gemaakt. ,1,,1,,0,"De kleuren van de foto zijn weer erg plat. Niemand in de foto gedraagt zich anders van elkaar, wat raar is met zo veel mensen zo dicht op elkaar. ",1,,0,De textuur weer van de gezichten en bijv. de kleding klopt niet in vergeleken met het echte leven. Ook zijn de handen van Putin vervormd. ,0,De kleuren lijken weer heel plat en de belichting klopt voor mijn gevoel ook weer niet. ,1,,1,,0,Alweer de textuur van de gezichten en pakken die heel anders zijn dan het echte leven. De belichting is ook weer heel raar voor een echte foto. ,1,,0,In een echte foto zouden de huizen en gebouwen veel scherper worden afgebeeld. Ook de lucht lijkt hier heel plat waardoor de belichting raar wordt.,1,,1,,1,,0,De vlaggen op de achtergrond zijn raar belicht en hebben praktisch geen textuur. ,1,,0,"Heel rare belichting, te groot contrast. ",13:42:00,Ja,3,2,7,807,822,15
59,83,19,Man,Universitair,Informatiekunde,Ja,5,5,5,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",5,14:00:00,1,,1,,0,Kinderen zien er gegenereerd uit,1,,1,,1,,1,,1,,1,,0,biden en obama zien er niet zo uit,1,,0,,0,,1,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,14:06:00,Nee,2,4,7,840,846,6
61,67,56,Vrouw,HBO,Marketing ,Nee,4,3,4,Teksten genereren (ChatGPT),3,14:05:00,1,,0,Kan ai wel gemaakt hebben,1,,0,Gephotoshopt ,0,De blik van de meisjes en hun handen lijken niet te kloppen ,0,Zo houd je een stok niet vast,0,Lijkt gephotoshopt ,0,Bord verkeerdom,0,Te netjes,1,Hele enge hoofden,1,,0,Stand van de handen is niet goed,0,Onwerkelijke situatie ,1,,1,,0,Niet realistisch ,1,,0,De man lijkt erin gephotoshopt ,0,Ziet eruit als een computerspel,1,,0,Tekst op verkeerde kant van bord,0,Enge hoofden,1,,1,,1,,1,,1,,0,Ze hebben allemaal hetzelfde hoofd,1,,0,Lijkt een game,14:17:00,"Dat weet ik niet, misschien was alles wel nep terwijl ik dacht verschil te kunnen zien. ",3,3,6,845,857,12
62,63,21,Man,Universitair,Wiskunde,Ja,2,2,3,Teksten genereren (ChatGPT),4,14:10:00,1,,0,De mensen en in de verte lijkt t gwn gegenereerd ,1,,0,Ja dit geloof ik gewoon niet ,0,Gwn nep idk,1,,1,,1,,1,,0,Huid is raar,1,,0,De handeling,0,De mensen ,0,Te HD voor een foto in deze gekte,0,Ongeloofwaardig ,0,Sommige gezichten zijn niet gelukt,1,,0,Putins hoofd,0,De mensen geven me geen vibe ,1,,1,,0,Gezichten ,1,,1,,1,,1,,1,,0,2 putins?,0,Moet zwart wit zijn ,0,Kom op z’n gezicht ,14:18:00,Nee,3,4,7,850,858,8
63,80,21,Man,Middelbare school,Sterrenkunde,Ja,5,2,4,Teksten genereren (ChatGPT),1,10:12:00,1,,1,,0,Tank zijkanten wazig,0,Pet logo,1,,1,,0,Vingers soldaat,0,6d in t linkerbord wtf,1,,0,Kijk die obamium kop,1,,0,USA flag op borst,0,Hz staan ze zo dicht op melkaar met ruimte,1,,1,,0,Misvormde gezichteb,1,,0,Ziet er gew raar uit,0,Misvormde lichamen,1,,1,,0,Ogen trump,1,,0,Ogen,1,,1,,1,,0,Die kleuren ofz,1,,0,Die kleuren,10:20:00,Nee,4,2,7,612,620,8
66,73,22,Man,Universitair,Rechtsgeleerdheid-economie,Nee,4,2,4,Teksten genereren (ChatGPT),2,14:22:00,0,Te scherpe schaduwen,1,,0,Te idyllische lens,1,,0,Te veel portrait,0,Jas lijkt niet echt,0,Geen land op militair pak of strepen ,1,,1,,1,Te veel saturatie,1,,0,Kan niet echt zijn,0,Bomen,0,Te mooi,1,,0,Geen gezichten,1,,0,Te veel saturatie,1,,1,,1,,1,Haar,1,,0,Stenen ,1,,1,,0,Te perfect,0,Meerdere putin’s,1,,0,Slaat nergens op,14:29:00,Nee,3,4,8,862,869,7
67,70,22,Man,Universitair,ISW,Nee,5,4,3,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",4,14:25:00,1,,0,,0,,0,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,0,,14:31:00,Ja,5,4,7,865,871,6
68,87,23,Man,Universitair,Computer Science ,Ja,4,5,5,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,13:15:00,1,,0,Vrij weinig pixels en details bij inzoomen,0,De linkerzijde naast de tankloop heeft een onrealistische buiging,1,,0,De achterkant van het haar van het meisje in het rood zweeft ,1,,0,De hoek van de muur rechtsonder is onrealistisch,0,De hand van de derde persoon buigt op een onrealistische manier,0,Weinig details bij inzoomen,0,De foto lijkt op dit https://twitter.com/william_lou/status/1133894109662519296,1,,1,,0,Vage pixels bij inzoomen rechts,1,,1,,0,Helft van de gezichten is weg,1,,0,Zie vraag 10,0,Wat is er gebeurd met het hoofd van de vrouw in het wit middenvoor,1,,1,,1,Zie vraag 10,1,,0,Vage  details rechtsboven,1,,1,,0,Die man in het bordeaux rood ziet er gek uit,0,Putin heeft een tweelingbroer? De weerspiegeling in de tafel is ook onrealistisch.,0,,0,Lijkt of er een filter op gezet is,14:37:00,Nee,5,2,8,795,877,82
69,73,22,Man,HBO,Commerciële economie,Ja,4,3,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,14:18:00,1,,0,"Hoe verder de huisjes/tenten liggen hoe minder detail zich in de afbeelding zit, hierdoor lijkt het onnatuurlijk.",0,De foto ziet er te cartoonig uit waardoor de echtheid wegvalt.,0,Hoewel de foto elementen er echt uitzien is na het zien goed sprake van een bewerkte foto.,1,,1,,0,"Hier ziet het uniform van de soldaat te gegenereerd/nep uit, zeker naar het kijken van zijn nametag en flag of de ammunitie",1,,0,Deze afbeelding geeft hier ook een cartoony gevoel.,0,Wederom cartoony look hier.,1,,0,Hier lijkt het op een bewerkte foto waar wel echte elementen in zitten maar het voorwerp niet echt is.,0,De afbeelding lijkt cartoony en de mensenmassa is te getekend.,1,,1,,0,Als je gaat kijken naar de gebouwen en mensen zie je dat het niet echt is door de wederom cartoony look.,1,,0,Wederom geven de aspecten op de foto een cartoony gezicht.,1,,1,,1,,0,"Het feit dat hierop Geert Wilders met Donald Trump de hand schud, dit is niet eerder voorgekomen en is hierdoor niet echt.",1,,1,,1,,1,,1,,0,De vele Putin clones zijn niet echt,0,"De stropdas van de man die 2 stoelen links van JFK zit gaat pas schuin na de helft, dit ziet er heel onnatuurlijk uit want als je in zo n houding zit hoort je gehele stropdas te zakken naar rechts.",0,Wederom een stoere foto van biden die onnatuurlijk uit omdat hij hier een pistool vasthoud in de buitenlucht.,14:37:00,Ja,3,4,5,858,877,19
70,80,18,Man,MBO,Horeca,Nee,3,2,2,Teksten genereren (ChatGPT),3,14:27:00,1,,1,,0,Ziet er geanimeerd uit,1,,0,Gezichten hebben een onnatuurlijke vorm,1,,0,Wapens in costuum lijken nep,1,,0,Gebouwen hebben geen logische vorm naarmate de afbeelding waziger wordt,0,Kleur en vorm,1,,1,,0,Naarmate de foto waziger wordt kloppen bepaalde vormen niet meer,0,ziet er getekend uit (of er zit een filter op),1,,0,Sommige hebben geen gezicht lijkt wel,1,,0,Getekend,1,,1,,1,,1,,0,,0,,1,,0,,1,,0,,1,,0,Getekend ,14:42:00,Nee,3,3,7,867,882,15
71,53,101,Vrouw,Middelbare school,huihouding,Nee,1,1,1,Niet van toepassing,2,14:39:00,1,,0,op gevoel,1,,1,Door de hand,0,wazige foto,1,,0,militair is nep,0,geen heldere foto,0,geen scherpe foto,1,,0,geen scherpe foto,1,,0,wazig,1,,0,minder scherp,0,minder scherp,1,,1,,0,niet zo scherp,1,,0,minder scherp,1,,0,hoor het haar aan de voorkant,1,,1,,1,,0,niet scherp genoeg,1,,0,niet zo helder,1,,14:52:00,Nee,4,2,5,879,892,13
72,67,19,Vrouw,Universitair,Sterrenkunde ,Nee,4,4,3,Teksten genereren (ChatGPT),2,8:50:00,1,,0,Te groot veld,1,,0,Dit lijkt raar,0,Vgm klopt haar hand niet,1,,1,,1,,0,De wegen kloppen niet,0,Gekke schaduw,1,,0,Dit kan niet waaar zijn,1,,1,,1,,1,,1,,0,,1,,1,,1,,0,Schaduws zijn raar,1,,1,,1,,1,,1,,0,Veel putin,1,,0,,8:55:00,Nee,1,4,4,530,535,5
74,60,83,Vrouw,MBO,bakkerswinkel,Nee,1,1,1,Niet van toepassing,4,15:12:00,0,"kan het bord niet lezen, mensen lijken er een beetje raar uit te zien",0,kan niet goed zien wat het is,1,,1,,0,kan de achtergrond niet goed zien,0,kan de achtergrond niet zien,1,,1,,0,wazige foto,0,rare gezichten,0,kan de achtergrond niet zien,0,gezicht is niet helder,0,kan niet onderscheiden wat iets is,1,,1,,1,,0,wazig,1,,0,kan de mannetjes niet goed zien,1,,1,,0,"vreemde gezichten, niet helder",1,,1,,1,,1,,0,mensen zijn wazig,0,gezichten zien er nep uit,0,wazige gezichten,0,zo een foto maak je niet echt,15:25:00,Nee,3,2,7,912,925,13
75,80,20,Vrouw,Universitair,Geesteswetenschappen,Ja,2,2,3,Helpen met begrijpen van bepaalde opdrachten en begrippen. ,3,15:20:00,1,,0,Sommige daken overlappen raar. ,0,De foto lijkt wat meer geblurd ,0,Het lijkt me niet dat Biden in het openbaar op de foto gaat terwijl hij de vingers van een vrouw opeet. ,0,Handen lijken onnatuurlijk ,0,Blur op de achtergrond,0,Hand ziet er apart bit,1,,0,Als je inzoomt zie je dat het nogal raar blurt,0,Rare blur en onjuiste verhoudingen ,1,,1,,0,Oogt onnatuurlijk als je inzoomt,1,,1,,0,Klopt niet als je inzoomt,1,,0,Weer een rare glans/blur,0,Rare blur ,1,,1,,1,"Verhoudingen kloppen niet, rare glans/blur",1,,1,,1,,1,,1,,0,Er zitten 2 Putins aan tafel (???),1,,0,Gezicht klopt niet,15:29:00,Nee,3,3,7,920,929,9
77,67,22,Man,HBO,Ondernemerschap,Nee,4,3,3,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,15:57:00,1,,1,,0,Tank is te nieuw ,1,,0,Gezicht vervormd ,1,,0,Rare hand ,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,0,,1,,0,,0,,1,,1,,0,,0,,1,,0,,0,,0,,0,,16:01:00,Ja,2,3,5,957,961,4
78,57,54,Vrouw,Universitair,Journalistiek communicatie  fotografie design,Nee,4,2,2,"Afbeeldingen genereren (DALL-E, Midjourney)",2,16:20:00,1,,0,Lijkt getekend ,0,Gebouwen lijken nep,0,Situatie ,0,Scherpte diepte,1,,1,,1,,1,,0,Niet gebeurd ,0,Achtergrond ,0,Situatie ,1,,1,,1,,1,,1,,0,Lijkt op tekening ,1,,1,,1,,0,Niet gebeurd ,1,,1,,1,,0,Niet gebeurd ,1,,0,Allemaal poetin,0,Kennedy ,0,Situatie ,16:27:00,Nee,2,4,3,980,987,7
79,97,21,Man,Universitair,Kunstmatige Intelligentie,Ja,5,4,3,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",5,16:30:00,1,,1,,0,Vreemde verhoudingen,1,Joe Biden,0,Onnatuurlijke handen,1,,0,Hij staat op de staart van het katje :(,1,,0,Onnatuurlijke texturen,0,Bro wat is er met Joe Biden gebeurd,1,,1,,0,Geen duidelijk herkenbare gezichten,1,,1,,0,Vervormde hoofden,1,,0,Poetins hand,0,De meest lange armen die ik ooit heb gezien,1,,1,,0,Dit is nooit gebeurd!! :0,0,Dit zijn geen echte mensen,0,De vrouw in de achtergrond is samengeperst,1,,1,,0,Onduidelijke mensen,0,Letterlijk 5 poetins,1,,0,Terminator Joe Biden Terminator Joe Biden,16:39:00,Nee,3,4,10,990,999,9
80,77,51,Vrouw,Universitair,Communicatie en marketing,Ja,3,3,1,Niet van toepassing,2,16:56:00,1,,1,,0,De schaduwen van de kinderen matcht niet met de schaduw van de tank,0,"Het lijkt natuurlijk, maar kan me niet voorstellen dat dit echt is gebeurd. ",0,Iets lijkt onnatuurlijk qua lichtval en in de gezichten. ,0,De arm die het handtasje draagt steekt vreemd uit achter de hoofdpersoon ,0,De handen achter de kat. Lijkt alsof kat er later is ingeshopt. ,1,,0,"Overgangen tussen huizen en weg zijn niet vloeiend, doet denken aan een collage. ",0,Barack Obama’s gezicht lijkt van klei. ,0,Sommige vlaggen lijken er later aan te zijn toegevoegd. ,1,,0,De kleur rood is onnatuurlijk. ,0,Mensen op de auto klopt niet met de rest,1,,0,Mensen zijn gemerged in de menigte. Blurry delen in de foto. ,1,,0,Poetin lijkt een wassen beeld. ,0,Lichamen van mensen vooraan kloppen niet. ,1,,0,Voorgrond klopt niet met menigte verderop. ,0,Cartoons,1,,1,,1,,1,,1,,0,Allemaal klonen van Poetin,1,,0,Schaduw en licht. Is te plastisch in het gezicht en bij de handen. ,17:20:00,Ja,3,4,6,1016,1040,24
81,83,18,Man,Universitair,psychobiologie,Ja,3,3,2,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",4,17:27:00,1,,1,,0,het licht lijtk niet te kloppen,1,,0,de handen zitten in de stof en de machine,1,,1,,1,,1,,1,hun hoofden zien er raar uit als plastic ofzo,1,,1,,0,"gek licht, je kan niet echt mensen onderscheiden",1,,1,,0,de reflectie op de ramen en links is een kaal persoon met een groot hoofd en een grote zonnebril,1,,0,poetin heeft 6 vingers,1,,1,,1,,0,het licht klopt niet en de huid van wilders heeft te weinig detail,1,,0,het licht voelt onnantuurlijk,1,,1,,1,,0,die generalen lijken op putin,1,,0,te gladde huid,17:37:00,Ja,3,2,9,1047,1057,10
82,70,53,Man,HBO,Maritieme techniek ,Nee,1,1,1,Niet van toepassing,2,17:15:00,1,,0,Te veel copy paste in de verte,0,,0,Onwaarschijnlijk ,1,,1,,1,,1,,0,Te vaag in de verte,0,Lijkt niet op Obama ,1,,1,,0,Te druk,0,Verkeerde diepte,1,,0,Te gelijkmatige drukte,1,,0,Hoofd Poetin te gemaakt,0,Mensen kloppen niet,1,,1,,0,Wilders draagt geen kaki. Haha. Gezichten zijn te gepolijst,1,,1,,1,,0,De drie bij elkaar,1,,0,Gezicht Poetin is vreemd,0,Uit een film? ,0,Gezicht klopt niet,17:37:00,Geen idee,2,4,6,1035,1057,22
83,67,60,Man,Universitair,Architectuur ,Nee,3,3,3,Teksten genereren (ChatGPT),3,17:31:00,1,,1,,1,,0,Gevoel en verhoudingen,1,,0,Niet de juiste scherpte diepte,1,,0,Schaduw werking niet goed,0,Te veel ruis,0,Slechte rendering,1,,1,,1,,1,,1,,1,,1,,0,,0,,1,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0,,17:36:00,Nee,3,3,8,1051,1056,5
84,53,48,Man,Universitair,Ondernemer,Ja,4,3,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,17:41:00,0,Vasthouden protestbord,1,,0,Loop tank,0,Verhouding met andere mensen,1,,0,Scherpte diepte,1,,1,,1,,0,Hoofden niet echt,0,Vlaggen ,0,Hand pistool,1,,1,,1,,0,Vlaggen,0,Scherpte midden,0,Nep poetin,1,,1,,1,,0,Trump,1,,1,,1,,1,,1,,1,,1,,0,Gezicht,17:51:00,Nee,3,3,6,1061,1071,10
85,53,52,Vrouw,HBO,Hrm,Nee,2,1,1,Niet van toepassing,3,17:45:00,1,,1,,0,Onwerkelijke situatie en tanker te groot vergeleken met de rest,0,Verhoudingen kloppen niet tussen de personen op beeld,1,,1,,1,,1,,1,,0,Gezichten te fake,0,Vlaggen erbij geplaatst,0,Pistool erbij geplaatst,0,Verhoudingen kloppen niet ; bus en mensen en de demonstratie in de verte,0,Traktor klopt niet met omgeveing,1,,1,,1,,0,Fake hoofd,1,,1,,0,"Voorgrond past niet, twee fotos door elkaar",0,Personen / hoofden niet echt bijna getekend,1,,1,,1,,0,Denk nep omdat  deze situatie - hand op schouder en deze drie presidenten  bijelkaar onwerkelijk is. Maar aan foto bijna niet te zien. ,1,,1,,1,,0,Fake hoofd,17:59:00,Ja,4,2,9,1065,1079,14
86,77,21,Man,Universitair,Rechtsgeleerdheid,Nee,3,4,4,Teksten genereren (ChatGPT),4,18:14:00,1,,1,,0,,0,,1,,0,,0,,1,,0,,0,,1,,0,,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,18:16:00,Nee,3,4,6,1094,1096,2
87,60,55,Vrouw,Universitair,Marketing,Nee,2,2,1,"Teksten genereren (ChatGPT), informatie opzoeken (vergelijken van zaken)",2,18:17:00,0,het gezicht ziet er vrij 2-dimensonaal uit,1,,0,onwaarschijnlijke situatie,0,rare situatie,1,,1,,1,,1,,1,,0,gezichten zijn heel fake,1,,0,kan me niet voorstellen dat Biden publiekelijk een pistool uit elkaar gaat halen,0,mensen massa tussen de huizen is is nogal vaag,0,Taliban op een tractor lijkt mij onwaarschijnlijk,1,,1,,0,mensen op de achtergrond zijn te groot denk ik tov mensen op de voorgrond,0,Putin ziet er nep uit,0,mensen zijn vaag ,0,klein kind met Russisch en groot mens met Engels bord lijkt mij rare combi,1,,0,gezichten zijn nep,1,,0,vrouw op voorgrond is veel scherper,1,,0,denk niet dat deze 3 heren ooit gezellig samen op de foto zijn gegaan,1,,0,allemaal Putin's,1,,0,fake plastic gezicht,18:25:00,Nee,3,3,5,1097,1105,8
